,precision,recall,f1-score,support
Attacking,0.7082621082621082,0.7583892617449665,0.7324690630524455,1639.0
Biting,0.6236730360934183,0.5587256300523062,0.5894156007022824,2103.0
Eating snacks,0.4090267983074753,0.4164956914238818,0.4127274575581986,4874.0
Head banging,0.533306255077173,0.824748743718593,0.6477553034040454,1592.0
Sitting quietly,0.5222371967654986,0.6101401354117462,0.5627768499019679,6351.0
Throwing things,0.4898668210770122,0.6360902255639098,0.5534838076545633,1330.0
Using phone,0.44153846153846155,0.2706525839305922,0.33559401309635173,5302.0
Walking,0.9420317220543807,0.8963348904060366,0.9186153562879764,5566.0
accuracy,0.5878916437736899,0.5878916437736899,0.5878916437736899,0.5878916437736899
macro avg,0.583742799896941,0.621447145281504,0.594104681457229,28757.0
weighted avg,0.5865592015892221,0.5878916437736899,0.5802267149640595,28757.0
