,precision,recall,f1-score,support
Attacking,0.6082621082621082,0.5762483130904184,0.5918225918225918,741.0
Biting,0.6616231086657497,0.5652173913043478,0.6096324461343473,851.0
Eating snacks,0.40408382590005376,0.3743155798904928,0.3886304909560723,2009.0
Head banging,0.29177057356608477,0.5294117647058824,0.3762057877813505,663.0
Sitting quietly,0.4935459377372817,0.49186530457813094,0.4927041879855979,2643.0
Throwing things,0.4792368125701459,0.7081260364842454,0.571619812583668,603.0
Using phone,0.31928406466512704,0.2656099903938521,0.2899842684845307,2082.0
Walking,0.9602194787379973,0.8955223880597015,0.9267431597528685,2345.0
accuracy,0.5353941526346653,0.5353941526346653,0.5353941526346653,0.5353941526346653
macro avg,0.5272532387630685,0.550789596063384,0.5309178431876285,11937.0
weighted avg,0.5469462675627987,0.5353941526346653,0.5371018445396508,11937.0
